measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Malaysia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2926.182977982,3368.35517348935,2495.4698710356197
Prevalence,Lao People's Democratic Republic,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2724.32240228829,3110.8329440028797,2337.52946259302
Prevalence,Indonesia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2571.37214049763,2975.49210449944,2198.97668981762
Prevalence,Cambodia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2650.19513657978,3064.63842718689,2277.42878884643
Prevalence,Taiwan (Province of China),Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3095.43998345818,3484.96010069737,2630.0988172102498
Prevalence,China,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3954.38918437234,4597.20948057547,3335.47045438372
Prevalence,Democratic People's Republic of Korea,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2940.86424269626,3418.6544182418397,2489.44676362734
Prevalence,Viet Nam,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3077.90013638242,3523.1344184283803,2653.9977171189703
Prevalence,Timor-Leste,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2852.94656114106,3300.79495159493,2423.21625775819
Prevalence,Thailand,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3173.0118670306,3621.1571620787504,2753.43454889445
Prevalence,Sri Lanka,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2843.50195998894,3273.5301700284795,2434.4298910186203
Prevalence,Kyrgyzstan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2917.59318621951,3321.3296442009705,2504.36593738232
Prevalence,Philippines,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2837.4176641038002,3269.5763956486103,2444.04153433222
Prevalence,Azerbaijan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2634.05783816816,3011.02670770852,2269.59741103777
Prevalence,Kazakhstan,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2776.40105261088,3165.6005827965005,2374.17848517201
Prevalence,Myanmar,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2999.9224694744303,3453.1088269481397,2560.3664418203
Prevalence,Georgia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,4307.849552042419,4926.90205131981,3707.48771672084
Prevalence,Armenia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3569.40738372579,4096.52199922744,3067.1276663313497
Prevalence,Maldives,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3219.1580583918703,3705.78822353154,2754.45228786645
Prevalence,Vanuatu,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2165.27544617072,2532.84744187778,1823.81073233788
Prevalence,Tonga,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3537.8177145253903,4089.33764540377,3011.52547825418
Prevalence,Samoa,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2857.14563842164,3326.27547753431,2421.80558273838
Prevalence,Solomon Islands,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2508.9316693186697,2905.25694147466,2124.26891039435
Prevalence,Papua New Guinea,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2294.45867040727,2640.5060929976103,1970.28568063231
Prevalence,Micronesia (Federated States of),Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2344.8902275169903,2704.71348446412,2002.30681717474
Prevalence,Kiribati,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2339.29623926014,2704.34431952049,1993.7724469762102
Prevalence,Marshall Islands,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,1715.1685484420102,1992.86669934605,1419.33490305738
Prevalence,Fiji,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2235.15637496404,2605.33803066793,1883.6596376185798
Prevalence,Romania,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3929.4186625554103,4560.14997421729,3335.94582260623
Prevalence,Serbia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3668.72171662095,4200.04969853757,3143.01930692807
Prevalence,Poland,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3877.3566082261295,4461.07912238794,3325.8345775088396
Prevalence,Montenegro,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3341.8858676791797,3857.33228176852,2865.33208105304
Prevalence,Hungary,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,4016.03286190519,4631.846329878201,3401.67207945735
Prevalence,North Macedonia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,2809.5470329026502,3275.20781597715,2349.1660452566202
Prevalence,Czechia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,3962.33275225462,4542.90568034256,3416.60294883519
Prevalence,Croatia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2016,4143.02408133806,4792.53091123581,3528.48656534766
