measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,China,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,16417647.944551978,19080449.25985883,13893114.624446305
Prevalence,China,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0433425317942169,0.0503672859080167,0.0366730330088543
Prevalence,China,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,4332.346196634619,5035.01549431508,3666.1635397415203
Prevalence,Democratic People's Republic of Korea,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,169741.85546456827,196504.45751686452,143956.3252008384
Prevalence,Democratic People's Republic of Korea,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0301489825282012,0.0349012702444604,0.025567001154283
Prevalence,Democratic People's Republic of Korea,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,3011.8666664993702,3486.73710319566,2554.33320271825
Prevalence,Taiwan (Province of China),Both,55+ years,Alzheimer's disease and other dementias,Number,2021,240328.37484108025,269954.53614250146,202932.4105063108
Prevalence,Taiwan (Province of China),Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0319428716416231,0.0358766729998087,0.0269716103484525
Prevalence,Taiwan (Province of China),Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,3191.63939180694,3585.0844999851597,2695.00875905548
Prevalence,Cambodia,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,56031.92318315355,64619.38281300261,47609.75984971307
Prevalence,Cambodia,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0257821031025202,0.0297320784887567,0.021906942931325
Prevalence,Cambodia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,2577.5895087275203,2972.63120265915,2190.15180151006
Prevalence,Indonesia,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,1023891.1312726923,1187362.846945814,878270.5669493631
Prevalence,Indonesia,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0244560976635928,0.0283587992969699,0.0209792402394796
Prevalence,Indonesia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,2444.84748425931,2835.18528542203,2097.13466649149
Prevalence,Lao People's Democratic Republic,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,20453.111121650018,23505.968095868466,17629.080059962587
Prevalence,Lao People's Democratic Republic,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0264760535797148,0.0304299088413386,0.0228211619625608
Prevalence,Lao People's Democratic Republic,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,2645.4293948488,3040.2894985187,2280.16590324013
Prevalence,Maldives,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,1669.7527812169274,1919.5858467881612,1425.336923069689
Prevalence,Maldives,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0307196748700092,0.0353078703579994,0.0262242850726462
Prevalence,Maldives,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,3069.6014979688402,3528.8838306269,2620.2779257994803
Prevalence,Malaysia,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,146354.74574249162,168005.48405626958,124072.18193685504
Prevalence,Malaysia,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0298700139265368,0.0342878475925284,0.0253216669665698
Prevalence,Malaysia,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,2985.1319171750197,3426.73228785641,2530.64448613723
Prevalence,Myanmar,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,243890.28144287795,279581.1253368502,208667.85751436424
Prevalence,Myanmar,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0289038791503032,0.0331303111853457,0.0247289400346063
Prevalence,Myanmar,Both,55+ years,Alzheimer's disease and other dementias,Rate,2021,2888.96850876592,3311.73945089186,2471.7461703854
Prevalence,Philippines,Both,55+ years,Alzheimer's disease and other dementias,Number,2021,392596.9590800209,452741.3738303024,338787.9517339909
Prevalence,Philippines,Both,55+ years,Alzheimer's disease and other dementias,Percent,2021,0.0281612480206995,0.0324796133304897,0.0243005275310213
